index,split,image_filename,relative_path,label,class_name,source_split,source_index,noise_type,noise_value
75,train,train_00075.png,images/train_00075.png,1,bird,train,2946,brightness,0.75
76,train,train_00076.png,images/train_00076.png,3,cat,test,5883,brightness,0.75
79,train,train_00079.png,images/train_00079.png,2,car,test,1827,brightness,0.75
81,train,train_00081.png,images/train_00081.png,5,dog,test,3181,brightness,0.75
82,train,train_00082.png,images/train_00082.png,4,deer,test,5270,brightness,0.75
83,train,train_00083.png,images/train_00083.png,2,car,train,4233,brightness,0.75
84,train,train_00084.png,images/train_00084.png,8,ship,test,3465,brightness,0.75
86,train,train_00086.png,images/train_00086.png,5,dog,test,2137,brightness,0.75
87,train,train_00087.png,images/train_00087.png,3,cat,test,2992,brightness,0.75
88,train,train_00088.png,images/train_00088.png,0,airplane,test,2295,brightness,0.75
89,train,train_00089.png,images/train_00089.png,7,monkey,test,975,brightness,0.75
92,train,train_00092.png,images/train_00092.png,7,monkey,test,7424,brightness,0.75
93,train,train_00093.png,images/train_00093.png,7,monkey,test,3367,brightness,0.75
95,train,train_00095.png,images/train_00095.png,1,bird,train,3358,brightness,0.75
96,train,train_00096.png,images/train_00096.png,5,dog,test,574,brightness,0.75
98,train,train_00098.png,images/train_00098.png,0,airplane,test,807,brightness,0.75
101,train,train_00101.png,images/train_00101.png,5,dog,test,3601,brightness,0.75
102,train,train_00102.png,images/train_00102.png,0,airplane,test,3138,brightness,0.75
103,train,train_00103.png,images/train_00103.png,7,monkey,train,1587,brightness,0.75
104,train,train_00104.png,images/train_00104.png,2,car,train,2613,brightness,0.75
105,train,train_00105.png,images/train_00105.png,6,horse,train,2845,brightness,0.75
106,train,train_00106.png,images/train_00106.png,4,deer,test,4740,brightness,0.75
107,train,train_00107.png,images/train_00107.png,4,deer,test,1410,brightness,0.75
108,train,train_00108.png,images/train_00108.png,3,cat,train,4075,brightness,0.75
109,train,train_00109.png,images/train_00109.png,0,airplane,test,1446,brightness,0.75
110,train,train_00110.png,images/train_00110.png,2,car,test,7269,brightness,0.75
111,train,train_00111.png,images/train_00111.png,1,bird,train,1073,brightness,0.75
112,train,train_00112.png,images/train_00112.png,5,dog,train,195,brightness,0.75
114,train,train_00114.png,images/train_00114.png,0,airplane,test,3970,brightness,0.75
115,train,train_00115.png,images/train_00115.png,7,monkey,train,101,brightness,0.75
116,train,train_00116.png,images/train_00116.png,6,horse,train,2563,brightness,0.75
117,train,train_00117.png,images/train_00117.png,9,truck,train,2605,brightness,0.75
118,train,train_00118.png,images/train_00118.png,5,dog,train,3349,brightness,0.75
119,train,train_00119.png,images/train_00119.png,1,bird,train,995,brightness,0.75
120,train,train_00120.png,images/train_00120.png,8,ship,train,2796,brightness,0.75
121,train,train_00121.png,images/train_00121.png,6,horse,test,412,brightness,0.75
123,train,train_00123.png,images/train_00123.png,2,car,train,1320,brightness,0.75
124,train,train_00124.png,images/train_00124.png,3,cat,test,6621,brightness,0.75
125,train,train_00125.png,images/train_00125.png,9,truck,test,4060,brightness,0.75
126,train,train_00126.png,images/train_00126.png,7,monkey,test,4238,brightness,0.75
127,train,train_00127.png,images/train_00127.png,2,car,test,4104,brightness,0.75
129,train,train_00129.png,images/train_00129.png,5,dog,test,2895,brightness,0.75
131,train,train_00131.png,images/train_00131.png,9,truck,test,5027,brightness,0.75
136,train,train_00136.png,images/train_00136.png,9,truck,test,1340,brightness,0.75
138,train,train_00138.png,images/train_00138.png,3,cat,test,2506,brightness,0.75
139,train,train_00139.png,images/train_00139.png,1,bird,test,866,brightness,0.75
140,train,train_00140.png,images/train_00140.png,9,truck,test,6988,brightness,0.75
141,train,train_00141.png,images/train_00141.png,4,deer,test,5260,brightness,0.75
142,train,train_00142.png,images/train_00142.png,6,horse,test,580,brightness,0.75
143,train,train_00143.png,images/train_00143.png,0,airplane,test,5426,brightness,0.75
145,train,train_00145.png,images/train_00145.png,5,dog,test,2791,brightness,0.75
146,train,train_00146.png,images/train_00146.png,1,bird,test,579,brightness,0.75
147,train,train_00147.png,images/train_00147.png,1,bird,test,6836,brightness,0.75
149,train,train_00149.png,images/train_00149.png,3,cat,test,3276,brightness,0.75
151,train,train_00151.png,images/train_00151.png,2,car,test,1789,brightness,0.75
152,train,train_00152.png,images/train_00152.png,4,deer,test,4021,brightness,0.75
153,train,train_00153.png,images/train_00153.png,9,truck,train,149,brightness,0.75
154,train,train_00154.png,images/train_00154.png,5,dog,test,7652,brightness,0.75
156,train,train_00156.png,images/train_00156.png,6,horse,train,4178,brightness,0.75
158,train,train_00158.png,images/train_00158.png,7,monkey,test,3192,brightness,0.75
160,train,train_00160.png,images/train_00160.png,5,dog,train,2022,brightness,0.75
162,train,train_00162.png,images/train_00162.png,8,ship,test,6752,brightness,0.75
163,train,train_00163.png,images/train_00163.png,8,ship,test,1650,brightness,0.75
164,train,train_00164.png,images/train_00164.png,0,airplane,train,516,brightness,0.75
165,train,train_00165.png,images/train_00165.png,1,bird,test,5713,brightness,0.75
166,train,train_00166.png,images/train_00166.png,6,horse,test,4920,brightness,0.75
167,train,train_00167.png,images/train_00167.png,2,car,test,2459,brightness,0.75
168,train,train_00168.png,images/train_00168.png,5,dog,test,1971,brightness,0.75
170,train,train_00170.png,images/train_00170.png,2,car,test,4937,brightness,0.75
172,train,train_00172.png,images/train_00172.png,0,airplane,test,3285,brightness,0.75
173,train,train_00173.png,images/train_00173.png,7,monkey,test,2443,brightness,0.75
175,train,train_00175.png,images/train_00175.png,4,deer,train,2798,brightness,0.75
176,train,train_00176.png,images/train_00176.png,3,cat,test,6046,brightness,0.75
177,train,train_00177.png,images/train_00177.png,5,dog,test,5646,brightness,0.75
178,train,train_00178.png,images/train_00178.png,5,dog,train,4717,brightness,0.75
179,train,train_00179.png,images/train_00179.png,0,airplane,test,3594,brightness,0.75
180,train,train_00180.png,images/train_00180.png,2,car,test,7591,brightness,0.75
181,train,train_00181.png,images/train_00181.png,3,cat,test,6812,brightness,0.75
182,train,train_00182.png,images/train_00182.png,6,horse,train,1128,brightness,0.75
184,train,train_00184.png,images/train_00184.png,5,dog,test,428,brightness,0.75
185,train,train_00185.png,images/train_00185.png,1,bird,train,4557,brightness,0.75
186,train,train_00186.png,images/train_00186.png,1,bird,test,1872,brightness,0.75
188,train,train_00188.png,images/train_00188.png,7,monkey,test,293,brightness,0.75
190,train,train_00190.png,images/train_00190.png,2,car,test,376,brightness,0.75
194,train,train_00194.png,images/train_00194.png,6,horse,test,340,brightness,0.75
196,train,train_00196.png,images/train_00196.png,0,airplane,test,2092,brightness,0.75
197,train,train_00197.png,images/train_00197.png,4,deer,test,3891,brightness,0.75
198,train,train_00198.png,images/train_00198.png,7,monkey,test,3959,brightness,0.75
200,train,train_00200.png,images/train_00200.png,9,truck,test,6428,brightness,0.75
205,train,train_00205.png,images/train_00205.png,4,deer,train,1871,brightness,0.75
206,train,train_00206.png,images/train_00206.png,0,airplane,test,248,brightness,0.75
207,train,train_00207.png,images/train_00207.png,7,monkey,test,4081,brightness,0.75
209,train,train_00209.png,images/train_00209.png,1,bird,test,4618,brightness,0.75
210,train,train_00210.png,images/train_00210.png,5,dog,train,3119,brightness,0.75
212,train,train_00212.png,images/train_00212.png,8,ship,test,6712,brightness,0.75
220,train,train_00220.png,images/train_00220.png,3,cat,test,2893,brightness,0.75
221,train,train_00221.png,images/train_00221.png,1,bird,train,1545,brightness,0.75
224,train,train_00224.png,images/train_00224.png,0,airplane,train,348,brightness,0.75
225,train,train_00225.png,images/train_00225.png,8,ship,test,7681,brightness,0.75
227,train,train_00227.png,images/train_00227.png,8,ship,test,7734,brightness,0.75
228,train,train_00228.png,images/train_00228.png,6,horse,test,4716,brightness,0.75
231,train,train_00231.png,images/train_00231.png,5,dog,test,7196,brightness,0.75
233,train,train_00233.png,images/train_00233.png,7,monkey,test,6663,brightness,0.75
235,train,train_00235.png,images/train_00235.png,6,horse,train,678,brightness,0.75
237,train,train_00237.png,images/train_00237.png,9,truck,test,3939,brightness,0.75
238,train,train_00238.png,images/train_00238.png,2,car,test,5805,brightness,0.75
239,train,train_00239.png,images/train_00239.png,2,car,test,1183,brightness,0.75
240,train,train_00240.png,images/train_00240.png,1,bird,test,2523,brightness,0.75
243,train,train_00243.png,images/train_00243.png,1,bird,train,3960,brightness,0.75
244,train,train_00244.png,images/train_00244.png,6,horse,test,5740,brightness,0.75
246,train,train_00246.png,images/train_00246.png,6,horse,test,2183,brightness,0.75
247,train,train_00247.png,images/train_00247.png,5,dog,train,526,brightness,0.75
248,train,train_00248.png,images/train_00248.png,1,bird,test,4317,brightness,0.75
249,train,train_00249.png,images/train_00249.png,5,dog,train,2699,brightness,0.75
250,train,train_00250.png,images/train_00250.png,0,airplane,train,203,brightness,0.75
253,train,train_00253.png,images/train_00253.png,7,monkey,train,3604,brightness,0.75
254,train,train_00254.png,images/train_00254.png,6,horse,train,2371,brightness,0.75
255,train,train_00255.png,images/train_00255.png,8,ship,test,4699,brightness,0.75
256,train,train_00256.png,images/train_00256.png,6,horse,train,2409,brightness,0.75
257,train,train_00257.png,images/train_00257.png,4,deer,train,4635,brightness,0.75
259,train,train_00259.png,images/train_00259.png,3,cat,test,3838,brightness,0.75
260,train,train_00260.png,images/train_00260.png,7,monkey,train,3658,brightness,0.75
262,train,train_00262.png,images/train_00262.png,6,horse,test,4416,brightness,0.75
263,train,train_00263.png,images/train_00263.png,5,dog,test,2483,brightness,0.75
264,train,train_00264.png,images/train_00264.png,3,cat,train,1955,brightness,0.75
265,train,train_00265.png,images/train_00265.png,7,monkey,train,4213,brightness,0.75
267,train,train_00267.png,images/train_00267.png,4,deer,test,3321,brightness,0.75
268,train,train_00268.png,images/train_00268.png,9,truck,train,3788,brightness,0.75
269,train,train_00269.png,images/train_00269.png,1,bird,test,1523,brightness,0.75
270,train,train_00270.png,images/train_00270.png,2,car,test,3856,brightness,0.75
272,train,train_00272.png,images/train_00272.png,9,truck,train,3741,brightness,0.75
273,train,train_00273.png,images/train_00273.png,5,dog,test,5148,brightness,0.75
275,train,train_00275.png,images/train_00275.png,0,airplane,test,1123,brightness,0.75
276,train,train_00276.png,images/train_00276.png,8,ship,train,3612,brightness,0.75
277,train,train_00277.png,images/train_00277.png,7,monkey,train,1813,brightness,0.75
278,train,train_00278.png,images/train_00278.png,0,airplane,test,6609,brightness,0.75
279,train,train_00279.png,images/train_00279.png,6,horse,test,2726,brightness,0.75
281,train,train_00281.png,images/train_00281.png,2,car,test,4220,brightness,0.75
283,train,train_00283.png,images/train_00283.png,7,monkey,test,1114,brightness,0.75
284,train,train_00284.png,images/train_00284.png,1,bird,train,3333,brightness,0.75
286,train,train_00286.png,images/train_00286.png,9,truck,train,4301,brightness,0.75
288,train,train_00288.png,images/train_00288.png,1,bird,train,3594,brightness,0.75
290,train,train_00290.png,images/train_00290.png,7,monkey,test,7060,brightness,0.75
291,train,train_00291.png,images/train_00291.png,3,cat,train,4344,brightness,0.75
293,train,train_00293.png,images/train_00293.png,5,dog,test,1565,brightness,0.75
295,train,train_00295.png,images/train_00295.png,2,car,test,7084,brightness,0.75
296,train,train_00296.png,images/train_00296.png,6,horse,test,3811,brightness,0.75
297,train,train_00297.png,images/train_00297.png,2,car,test,5318,brightness,0.75
298,train,train_00298.png,images/train_00298.png,5,dog,test,5536,brightness,0.75
299,train,train_00299.png,images/train_00299.png,3,cat,train,2644,brightness,0.75
303,train,train_00303.png,images/train_00303.png,6,horse,train,1402,brightness,0.75
306,train,train_00306.png,images/train_00306.png,7,monkey,train,698,brightness,0.75
307,train,train_00307.png,images/train_00307.png,7,monkey,test,2063,brightness,0.75
308,train,train_00308.png,images/train_00308.png,9,truck,train,3384,brightness,0.75
309,train,train_00309.png,images/train_00309.png,1,bird,train,962,brightness,0.75
310,train,train_00310.png,images/train_00310.png,6,horse,train,4816,brightness,0.75
311,train,train_00311.png,images/train_00311.png,6,horse,train,3072,brightness,0.75
312,train,train_00312.png,images/train_00312.png,3,cat,test,5872,brightness,0.75
314,train,train_00314.png,images/train_00314.png,0,airplane,test,3751,brightness,0.75
315,train,train_00315.png,images/train_00315.png,1,bird,test,1645,brightness,0.75
316,train,train_00316.png,images/train_00316.png,9,truck,test,6451,brightness,0.75
318,train,train_00318.png,images/train_00318.png,4,deer,test,6533,brightness,0.75
319,train,train_00319.png,images/train_00319.png,2,car,train,2232,brightness,0.75
320,train,train_00320.png,images/train_00320.png,2,car,test,714,brightness,0.75
322,train,train_00322.png,images/train_00322.png,6,horse,test,513,brightness,0.75
323,train,train_00323.png,images/train_00323.png,6,horse,test,545,brightness,0.75
324,train,train_00324.png,images/train_00324.png,7,monkey,test,2106,brightness,0.75
328,train,train_00328.png,images/train_00328.png,4,deer,test,7539,brightness,0.75
329,train,train_00329.png,images/train_00329.png,4,deer,test,6629,brightness,0.75
330,train,train_00330.png,images/train_00330.png,9,truck,test,210,brightness,0.75
331,train,train_00331.png,images/train_00331.png,4,deer,test,4732,brightness,0.75
334,train,train_00334.png,images/train_00334.png,2,car,test,1344,brightness,0.75
336,train,train_00336.png,images/train_00336.png,5,dog,train,535,brightness,0.75
337,train,train_00337.png,images/train_00337.png,5,dog,test,1295,brightness,0.75
338,train,train_00338.png,images/train_00338.png,4,deer,test,1311,brightness,0.75
340,train,train_00340.png,images/train_00340.png,1,bird,test,6770,brightness,0.75
341,train,train_00341.png,images/train_00341.png,7,monkey,train,2386,brightness,0.75
343,train,train_00343.png,images/train_00343.png,1,bird,train,2826,brightness,0.75
344,train,train_00344.png,images/train_00344.png,4,deer,train,4078,brightness,0.75
345,train,train_00345.png,images/train_00345.png,2,car,train,1046,brightness,0.75
346,train,train_00346.png,images/train_00346.png,0,airplane,test,6453,brightness,0.75
348,train,train_00348.png,images/train_00348.png,2,car,test,6297,brightness,0.75
349,train,train_00349.png,images/train_00349.png,4,deer,train,394,brightness,0.75
350,train,train_00350.png,images/train_00350.png,1,bird,test,7955,brightness,0.75
351,train,train_00351.png,images/train_00351.png,3,cat,test,2790,brightness,0.75
352,train,train_00352.png,images/train_00352.png,7,monkey,train,3844,brightness,0.75
353,train,train_00353.png,images/train_00353.png,6,horse,test,5208,brightness,0.75
354,train,train_00354.png,images/train_00354.png,8,ship,test,1346,brightness,0.75
355,train,train_00355.png,images/train_00355.png,3,cat,train,4900,brightness,0.75
357,train,train_00357.png,images/train_00357.png,3,cat,test,5127,brightness,0.75
358,train,train_00358.png,images/train_00358.png,7,monkey,test,4149,brightness,0.75
361,train,train_00361.png,images/train_00361.png,2,car,test,6864,brightness,0.75
362,train,train_00362.png,images/train_00362.png,8,ship,test,3533,brightness,0.75
363,train,train_00363.png,images/train_00363.png,6,horse,train,1743,brightness,0.75
364,train,train_00364.png,images/train_00364.png,4,deer,train,2586,brightness,0.75
365,train,train_00365.png,images/train_00365.png,0,airplane,test,1672,brightness,0.75
366,train,train_00366.png,images/train_00366.png,1,bird,test,2618,brightness,0.75
369,train,train_00369.png,images/train_00369.png,2,car,test,3242,brightness,0.75
370,train,train_00370.png,images/train_00370.png,6,horse,test,1169,brightness,0.75
372,train,train_00372.png,images/train_00372.png,9,truck,test,6330,brightness,0.75
375,train,train_00375.png,images/train_00375.png,9,truck,test,999,brightness,0.75
377,train,train_00377.png,images/train_00377.png,4,deer,test,5227,brightness,0.75
380,train,train_00380.png,images/train_00380.png,3,cat,train,783,brightness,0.75
381,train,train_00381.png,images/train_00381.png,8,ship,train,3218,brightness,0.75
382,train,train_00382.png,images/train_00382.png,9,truck,test,1655,brightness,0.75
385,train,train_00385.png,images/train_00385.png,1,bird,train,1427,brightness,0.75
387,train,train_00387.png,images/train_00387.png,8,ship,test,6226,brightness,0.75
389,train,train_00389.png,images/train_00389.png,7,monkey,test,612,brightness,0.75
394,train,train_00394.png,images/train_00394.png,0,airplane,test,5292,brightness,0.75
395,train,train_00395.png,images/train_00395.png,3,cat,test,6094,brightness,0.75
396,train,train_00396.png,images/train_00396.png,9,truck,test,1486,brightness,0.75
397,train,train_00397.png,images/train_00397.png,3,cat,test,3166,brightness,0.75
398,train,train_00398.png,images/train_00398.png,8,ship,train,857,brightness,0.75
399,train,train_00399.png,images/train_00399.png,7,monkey,train,1279,brightness,0.75
400,train,train_00400.png,images/train_00400.png,8,ship,test,5766,brightness,0.75
401,train,train_00401.png,images/train_00401.png,7,monkey,train,1138,brightness,0.75
402,train,train_00402.png,images/train_00402.png,8,ship,test,237,brightness,0.75
403,train,train_00403.png,images/train_00403.png,0,airplane,train,4255,brightness,0.75
404,train,train_00404.png,images/train_00404.png,5,dog,train,4368,brightness,0.75
405,train,train_00405.png,images/train_00405.png,3,cat,test,7683,brightness,0.75
406,train,train_00406.png,images/train_00406.png,3,cat,test,5160,brightness,0.75
407,train,train_00407.png,images/train_00407.png,0,airplane,train,1055,brightness,0.75
409,train,train_00409.png,images/train_00409.png,4,deer,train,2403,brightness,0.75
412,train,train_00412.png,images/train_00412.png,1,bird,test,1571,brightness,0.75
414,train,train_00414.png,images/train_00414.png,5,dog,train,867,brightness,0.75
416,train,train_00416.png,images/train_00416.png,0,airplane,train,3971,brightness,0.75
417,train,train_00417.png,images/train_00417.png,8,ship,test,3424,brightness,0.75
418,train,train_00418.png,images/train_00418.png,8,ship,test,3150,brightness,0.75
420,train,train_00420.png,images/train_00420.png,7,monkey,train,1543,brightness,0.75
422,train,train_00422.png,images/train_00422.png,0,airplane,train,3705,brightness,0.75
426,train,train_00426.png,images/train_00426.png,0,airplane,test,4340,brightness,0.75
427,train,train_00427.png,images/train_00427.png,9,truck,test,1893,brightness,0.75
429,train,train_00429.png,images/train_00429.png,5,dog,test,1900,brightness,0.75
431,train,train_00431.png,images/train_00431.png,3,cat,train,2172,brightness,0.75
432,train,train_00432.png,images/train_00432.png,1,bird,train,3531,brightness,0.75
433,train,train_00433.png,images/train_00433.png,5,dog,test,7606,brightness,0.75
434,train,train_00434.png,images/train_00434.png,4,deer,test,7574,brightness,0.75
435,train,train_00435.png,images/train_00435.png,8,ship,test,5164,brightness,0.75
436,train,train_00436.png,images/train_00436.png,0,airplane,test,5363,brightness,0.75
437,train,train_00437.png,images/train_00437.png,3,cat,test,385,brightness,0.75
440,train,train_00440.png,images/train_00440.png,3,cat,train,4354,brightness,0.75
444,train,train_00444.png,images/train_00444.png,7,monkey,test,4087,brightness,0.75
445,train,train_00445.png,images/train_00445.png,5,dog,test,6265,brightness,0.75
447,train,train_00447.png,images/train_00447.png,4,deer,test,1013,brightness,0.75
451,train,train_00451.png,images/train_00451.png,1,bird,train,4938,brightness,0.75
452,train,train_00452.png,images/train_00452.png,3,cat,test,6575,brightness,0.75
453,train,train_00453.png,images/train_00453.png,8,ship,test,2481,brightness,0.75
456,train,train_00456.png,images/train_00456.png,0,airplane,test,4493,brightness,0.75
461,train,train_00461.png,images/train_00461.png,5,dog,train,125,brightness,0.75
462,train,train_00462.png,images/train_00462.png,1,bird,train,153,brightness,0.75
463,train,train_00463.png,images/train_00463.png,4,deer,test,4118,brightness,0.75
464,train,train_00464.png,images/train_00464.png,6,horse,test,6823,brightness,0.75
467,train,train_00467.png,images/train_00467.png,7,monkey,test,2390,brightness,0.75
470,train,train_00470.png,images/train_00470.png,8,ship,test,2108,brightness,0.75
471,train,train_00471.png,images/train_00471.png,3,cat,test,3350,brightness,0.75
473,train,train_00473.png,images/train_00473.png,6,horse,train,1204,brightness,0.75
475,train,train_00475.png,images/train_00475.png,1,bird,train,4194,brightness,0.75
476,train,train_00476.png,images/train_00476.png,9,truck,train,2134,brightness,0.75
478,train,train_00478.png,images/train_00478.png,6,horse,test,6666,brightness,0.75
481,train,train_00481.png,images/train_00481.png,4,deer,train,3021,brightness,0.75
486,train,train_00486.png,images/train_00486.png,1,bird,test,1583,brightness,0.75
487,train,train_00487.png,images/train_00487.png,5,dog,train,2274,brightness,0.75
488,train,train_00488.png,images/train_00488.png,7,monkey,train,2917,brightness,0.75
489,train,train_00489.png,images/train_00489.png,7,monkey,test,7660,brightness,0.75
491,train,train_00491.png,images/train_00491.png,3,cat,test,2504,brightness,0.75
494,train,train_00494.png,images/train_00494.png,0,airplane,train,4322,brightness,0.75
497,train,train_00497.png,images/train_00497.png,4,deer,train,1997,brightness,0.75
498,train,train_00498.png,images/train_00498.png,0,airplane,train,3618,brightness,0.75
499,train,train_00499.png,images/train_00499.png,0,airplane,train,3050,brightness,0.75
500,train,train_00500.png,images/train_00500.png,5,dog,train,305,brightness,0.75
501,train,train_00501.png,images/train_00501.png,0,airplane,test,5686,brightness,0.75
502,train,train_00502.png,images/train_00502.png,8,ship,test,3558,brightness,0.75
503,train,train_00503.png,images/train_00503.png,8,ship,test,1765,brightness,0.75
504,train,train_00504.png,images/train_00504.png,2,car,train,4380,brightness,0.75
505,train,train_00505.png,images/train_00505.png,7,monkey,train,1224,brightness,0.75
507,train,train_00507.png,images/train_00507.png,9,truck,test,1167,brightness,0.75
508,train,train_00508.png,images/train_00508.png,4,deer,train,1230,brightness,0.75
509,train,train_00509.png,images/train_00509.png,2,car,train,1632,brightness,0.75
510,train,train_00510.png,images/train_00510.png,5,dog,train,298,brightness,0.75
511,train,train_00511.png,images/train_00511.png,6,horse,test,6950,brightness,0.75
512,train,train_00512.png,images/train_00512.png,5,dog,test,312,brightness,0.75
513,train,train_00513.png,images/train_00513.png,5,dog,test,6376,brightness,0.75
514,train,train_00514.png,images/train_00514.png,4,deer,train,2660,brightness,0.75
515,train,train_00515.png,images/train_00515.png,3,cat,test,7159,brightness,0.75
516,train,train_00516.png,images/train_00516.png,4,deer,test,5273,brightness,0.75
517,train,train_00517.png,images/train_00517.png,6,horse,train,2241,brightness,0.75
520,train,train_00520.png,images/train_00520.png,9,truck,train,3351,brightness,0.75
523,train,train_00523.png,images/train_00523.png,0,airplane,train,4118,brightness,0.75
524,train,train_00524.png,images/train_00524.png,2,car,test,7646,brightness,0.75
525,train,train_00525.png,images/train_00525.png,6,horse,test,461,brightness,0.75
526,train,train_00526.png,images/train_00526.png,9,truck,test,2469,brightness,0.75
527,train,train_00527.png,images/train_00527.png,9,truck,test,7487,brightness,0.75
528,train,train_00528.png,images/train_00528.png,0,airplane,test,7634,brightness,0.75
529,train,train_00529.png,images/train_00529.png,6,horse,train,4811,brightness,0.75
531,train,train_00531.png,images/train_00531.png,8,ship,test,55,brightness,0.75
534,train,train_00534.png,images/train_00534.png,8,ship,train,4418,brightness,0.75
535,train,train_00535.png,images/train_00535.png,3,cat,test,2228,brightness,0.75
537,train,train_00537.png,images/train_00537.png,0,airplane,train,2132,brightness,0.75
540,train,train_00540.png,images/train_00540.png,7,monkey,train,1017,brightness,0.75
541,train,train_00541.png,images/train_00541.png,4,deer,train,4431,brightness,0.75
542,train,train_00542.png,images/train_00542.png,8,ship,train,2298,brightness,0.75
543,train,train_00543.png,images/train_00543.png,1,bird,test,3376,brightness,0.75
544,train,train_00544.png,images/train_00544.png,2,car,train,1639,brightness,0.75
545,train,train_00545.png,images/train_00545.png,1,bird,test,7887,brightness,0.75
547,train,train_00547.png,images/train_00547.png,9,truck,test,2411,brightness,0.75
548,train,train_00548.png,images/train_00548.png,6,horse,test,3292,brightness,0.75
551,train,train_00551.png,images/train_00551.png,2,car,train,3674,brightness,0.75
552,train,train_00552.png,images/train_00552.png,7,monkey,test,6840,brightness,0.75
553,train,train_00553.png,images/train_00553.png,0,airplane,train,1653,brightness,0.75
556,train,train_00556.png,images/train_00556.png,9,truck,train,2769,brightness,0.75
557,train,train_00557.png,images/train_00557.png,6,horse,test,5737,brightness,0.75
558,train,train_00558.png,images/train_00558.png,7,monkey,test,7134,brightness,0.75
561,train,train_00561.png,images/train_00561.png,9,truck,test,7321,brightness,0.75
563,train,train_00563.png,images/train_00563.png,9,truck,test,3094,brightness,0.75
565,train,train_00565.png,images/train_00565.png,3,cat,test,7479,brightness,0.75
567,train,train_00567.png,images/train_00567.png,1,bird,train,1018,brightness,0.75
568,train,train_00568.png,images/train_00568.png,1,bird,train,4570,brightness,0.75
569,train,train_00569.png,images/train_00569.png,4,deer,test,4063,brightness,0.75
570,train,train_00570.png,images/train_00570.png,6,horse,test,1863,brightness,0.75
