index,split,image_filename,relative_path,label,class_name,source_split,source_index,source_filename,noise_type,feature_noise_type,feature_noise_value,label_noise_type,label_noise_value,original_label,original_class_name,label_noise_applied
48,train,train_00048.jpg,images/train_00048.jpg,55,bishop of llandaff,test,2780,image_02847.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,55,bishop of llandaff,0
49,train,train_00049.jpg,images/train_00049.jpg,67,bearded iris,test,3357,image_05923.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,67,bearded iris,0
50,train,train_00050.jpg,images/train_00050.jpg,93,foxglove,test,5709,image_07450.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,93,foxglove,0
54,train,train_00054.jpg,images/train_00054.jpg,79,anthurium,test,4551,image_02064.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,79,anthurium,0
55,train,train_00055.jpg,images/train_00055.jpg,18,balloon flower,test,2685,image_04742.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,54,pelargonium,1
58,train,train_00058.jpg,images/train_00058.jpg,62,black-eyed susan,test,4310,image_00230.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,76,passion flower,1
59,train,train_00059.jpg,images/train_00059.jpg,29,sweet william,test,475,image_05775.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,12,king protea,1
64,train,train_00064.jpg,images/train_00064.jpg,60,cautleya spicata,val,83,image_06436.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,8,monkshood,1
65,train,train_00065.jpg,images/train_00065.jpg,13,spear thistle,test,490,image_06064.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,13,spear thistle,0
67,train,train_00067.jpg,images/train_00067.jpg,53,sunflower,val,533,image_05447.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,53,sunflower,0
69,train,train_00069.jpg,images/train_00069.jpg,72,water lily,test,3591,image_00254.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,72,water lily,0
71,train,train_00071.jpg,images/train_00071.jpg,56,gaura,test,2802,image_07248.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,56,gaura,0
72,train,train_00072.jpg,images/train_00072.jpg,71,azalea,test,5227,image_08083.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,87,cyclamen,1
73,train,train_00073.jpg,images/train_00073.jpg,45,wallflower,test,1864,image_00951.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,45,wallflower,0
74,train,train_00074.jpg,images/train_00074.jpg,90,hippeastrum,test,2061,image_04989.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,46,marigold,1
77,train,train_00077.jpg,images/train_00077.jpg,59,pink-yellow dahlia?,test,3006,image_02952.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,59,pink-yellow dahlia?,0
78,train,train_00078.jpg,images/train_00078.jpg,72,water lily,test,3679,image_00350.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,72,water lily,0
79,train,train_00079.jpg,images/train_00079.jpg,54,pelargonium,test,2674,image_04725.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,54,pelargonium,0
82,train,train_00082.jpg,images/train_00082.jpg,20,fire lily,val,161,image_06802.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,20,fire lily,0
83,train,train_00083.jpg,images/train_00083.jpg,92,ball moss,train,922,image_06013.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,92,ball moss,0
84,train,train_00084.jpg,images/train_00084.jpg,42,sword lily,test,364,image_03147.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,10,snapdragon,1
87,train,train_00087.jpg,images/train_00087.jpg,30,carnation,test,1141,image_06896.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,30,carnation,0
90,train,train_00090.jpg,images/train_00090.jpg,36,cape flower,test,1400,image_07291.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,36,cape flower,0
92,train,train_00092.jpg,images/train_00092.jpg,13,spear thistle,train,135,image_06092.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,13,spear thistle,0
94,train,train_00094.jpg,images/train_00094.jpg,59,pink-yellow dahlia?,train,598,image_03006.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,59,pink-yellow dahlia?,0
96,train,train_00096.jpg,images/train_00096.jpg,22,fritillary,val,474,image_04628.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,47,buttercup,1
99,train,train_00099.jpg,images/train_00099.jpg,7,bird of paradise,test,214,image_03292.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,7,bird of paradise,0
100,train,train_00100.jpg,images/train_00100.jpg,77,lotus,train,772,image_01855.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,77,lotus,0
101,train,train_00101.jpg,images/train_00101.jpg,7,bird of paradise,test,218,image_03300.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,7,bird of paradise,0
103,train,train_00103.jpg,images/train_00103.jpg,48,oxeye daisy,test,2146,image_06219.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,48,oxeye daisy,0
106,train,train_00106.jpg,images/train_00106.jpg,72,water lily,test,3668,image_00339.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,72,water lily,0
107,train,train_00107.jpg,images/train_00107.jpg,8,monkshood,test,289,image_06425.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,8,monkshood,0
111,train,train_00111.jpg,images/train_00111.jpg,85,tree mallow,test,5023,image_02878.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,85,tree mallow,0
114,train,train_00114.jpg,images/train_00114.jpg,55,bishop of llandaff,test,2788,image_02858.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,55,bishop of llandaff,0
116,train,train_00116.jpg,images/train_00116.jpg,79,anthurium,test,4549,image_02062.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,79,anthurium,0
118,train,train_00118.jpg,images/train_00118.jpg,75,morning glory,test,4070,image_02517.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,75,morning glory,0
119,train,train_00119.jpg,images/train_00119.jpg,59,pink-yellow dahlia?,test,2989,image_02930.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,59,pink-yellow dahlia?,0
122,train,train_00122.jpg,images/train_00122.jpg,55,bishop of llandaff,test,2779,image_02845.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,55,bishop of llandaff,0
123,train,train_00123.jpg,images/train_00123.jpg,81,clematis,train,717,image_03582.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,71,azalea,1
127,train,train_00127.jpg,images/train_00127.jpg,18,balloon flower,train,191,image_06186.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,18,balloon flower,0
128,train,train_00128.jpg,images/train_00128.jpg,45,wallflower,test,1909,image_01001.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,45,wallflower,0
131,train,train_00131.jpg,images/train_00131.jpg,79,anthurium,test,4496,image_01999.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,79,anthurium,0
132,train,train_00132.jpg,images/train_00132.jpg,50,petunia,test,2394,image_01469.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,0
134,train,train_00134.jpg,images/train_00134.jpg,65,osteospermum,train,656,image_05567.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,65,osteospermum,0
136,train,train_00136.jpg,images/train_00136.jpg,40,barbeton daisy,test,1540,image_02226.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,40,barbeton daisy,0
141,train,train_00141.jpg,images/train_00141.jpg,42,sword lily,test,1733,image_02409.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,42,sword lily,0
144,train,train_00144.jpg,images/train_00144.jpg,7,bird of paradise,train,70,image_03333.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,7,bird of paradise,0
148,train,train_00148.jpg,images/train_00148.jpg,60,cautleya spicata,train,604,image_06254.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,60,cautleya spicata,0
149,train,train_00149.jpg,images/train_00149.jpg,66,spring crocus,val,668,image_07073.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,66,spring crocus,0
150,train,train_00150.jpg,images/train_00150.jpg,82,hibiscus,test,4803,image_01707.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,82,hibiscus,0
152,train,train_00152.jpg,images/train_00152.jpg,58,orange dahlia,val,583,image_05028.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,58,orange dahlia,0
153,train,train_00153.jpg,images/train_00153.jpg,64,californian poppy,test,1769,image_01493.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,43,poinsettia,1
156,train,train_00156.jpg,images/train_00156.jpg,40,barbeton daisy,train,407,image_02257.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,40,barbeton daisy,0
158,train,train_00158.jpg,images/train_00158.jpg,88,watercress,test,5255,image_00626.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,88,watercress,0
162,train,train_00162.jpg,images/train_00162.jpg,73,rose,test,3843,image_01233.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,73,rose,0
164,train,train_00164.jpg,images/train_00164.jpg,50,petunia,test,2412,image_01364.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,0
165,train,train_00165.jpg,images/train_00165.jpg,96,mallow,test,5947,image_07749.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,96,mallow,0
167,train,train_00167.jpg,images/train_00167.jpg,89,canna lily,test,5434,image_04455.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,89,canna lily,0
170,train,train_00170.jpg,images/train_00170.jpg,80,frangipani,test,4578,image_00807.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,80,frangipani,0
172,train,train_00172.jpg,images/train_00172.jpg,81,clematis,test,4792,image_01694.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,81,clematis,0
173,train,train_00173.jpg,images/train_00173.jpg,23,red ginger,train,238,image_06828.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,23,red ginger,0
175,train,train_00175.jpg,images/train_00175.jpg,60,cautleya spicata,val,603,image_06255.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,60,cautleya spicata,0
176,train,train_00176.jpg,images/train_00176.jpg,76,passion flower,test,4888,image_01808.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,82,hibiscus,1
177,train,train_00177.jpg,images/train_00177.jpg,62,black-eyed susan,val,629,image_05880.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,62,black-eyed susan,0
182,train,train_00182.jpg,images/train_00182.jpg,64,californian poppy,test,3226,image_03212.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,64,californian poppy,0
185,train,train_00185.jpg,images/train_00185.jpg,27,stemless gentian,test,3430,image_05301.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,69,tree poppy,1
186,train,train_00186.jpg,images/train_00186.jpg,44,bolero deep blue,val,440,image_07154.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,44,bolero deep blue,0
190,train,train_00190.jpg,images/train_00190.jpg,67,bearded iris,test,3349,image_05910.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,67,bearded iris,0
192,train,train_00192.jpg,images/train_00192.jpg,100,trumpet creeper,test,1498,image_04610.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,39,lenten rose,1
195,train,train_00195.jpg,images/train_00195.jpg,96,mallow,test,5916,image_07704.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,96,mallow,0
196,train,train_00196.jpg,images/train_00196.jpg,52,primula,test,2563,image_03671.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,52,primula,0
197,train,train_00197.jpg,images/train_00197.jpg,79,anthurium,test,4514,image_02024.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,79,anthurium,0
200,train,train_00200.jpg,images/train_00200.jpg,47,buttercup,train,474,image_04672.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,47,buttercup,0
203,train,train_00203.jpg,images/train_00203.jpg,64,californian poppy,test,6071,image_07921.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,99,blanket flower,1
204,train,train_00204.jpg,images/train_00204.jpg,59,pink-yellow dahlia?,test,2991,image_02932.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,59,pink-yellow dahlia?,0
205,train,train_00205.jpg,images/train_00205.jpg,56,gaura,val,569,image_07254.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,56,gaura,0
206,train,train_00206.jpg,images/train_00206.jpg,4,english marigold,test,307,image_07103.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,9,globe thistle,1
207,train,train_00207.jpg,images/train_00207.jpg,50,petunia,test,2411,image_01428.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,0
210,train,train_00210.jpg,images/train_00210.jpg,41,daffodil,test,1652,image_05737.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,41,daffodil,0
211,train,train_00211.jpg,images/train_00211.jpg,22,fritillary,val,802,image_00843.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,80,frangipani,1
215,train,train_00215.jpg,images/train_00215.jpg,71,azalea,val,712,image_03561.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,71,azalea,0
216,train,train_00216.jpg,images/train_00216.jpg,98,bromelia,val,985,image_07842.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,98,bromelia,0
219,train,train_00219.jpg,images/train_00219.jpg,42,sword lily,val,425,image_02327.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,42,sword lily,0
223,train,train_00223.jpg,images/train_00223.jpg,41,daffodil,val,306,image_06894.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,30,carnation,1
224,train,train_00224.jpg,images/train_00224.jpg,4,english marigold,test,139,image_05180.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,4,english marigold,0
225,train,train_00225.jpg,images/train_00225.jpg,87,cyclamen,test,686,image_04295.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,17,peruvian lily,1
229,train,train_00229.jpg,images/train_00229.jpg,39,lenten rose,train,390,image_04583.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,39,lenten rose,0
230,train,train_00230.jpg,images/train_00230.jpg,63,silverbush,val,920,image_06025.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,92,ball moss,1
233,train,train_00233.jpg,images/train_00233.jpg,91,bee balm,test,5554,image_03091.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,91,bee balm,0
235,train,train_00235.jpg,images/train_00235.jpg,42,sword lily,test,1754,image_02432.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,42,sword lily,0
238,train,train_00238.jpg,images/train_00238.jpg,93,foxglove,test,5692,image_07430.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,93,foxglove,0
239,train,train_00239.jpg,images/train_00239.jpg,87,cyclamen,test,5160,image_00521.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,87,cyclamen,0
242,train,train_00242.jpg,images/train_00242.jpg,27,stemless gentian,test,1013,image_05275.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,27,stemless gentian,0
243,train,train_00243.jpg,images/train_00243.jpg,95,camellia,test,5890,image_07671.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,95,camellia,0
245,train,train_00245.jpg,images/train_00245.jpg,8,monkshood,test,4031,image_02467.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,75,morning glory,1
246,train,train_00246.jpg,images/train_00246.jpg,97,mexican petunia,test,5982,image_07791.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,97,mexican petunia,0
247,train,train_00247.jpg,images/train_00247.jpg,95,camellia,test,5623,image_07353.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,93,foxglove,1
248,train,train_00248.jpg,images/train_00248.jpg,45,wallflower,test,1948,image_01045.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,45,wallflower,0
249,train,train_00249.jpg,images/train_00249.jpg,72,water lily,test,3734,image_00414.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,72,water lily,0
250,train,train_00250.jpg,images/train_00250.jpg,88,watercress,test,5243,image_00614.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,88,watercress,0
252,train,train_00252.jpg,images/train_00252.jpg,18,balloon flower,val,191,image_06185.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,18,balloon flower,0
257,train,train_00257.jpg,images/train_00257.jpg,45,wallflower,test,1961,image_01060.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,45,wallflower,0
258,train,train_00258.jpg,images/train_00258.jpg,16,purple coneflower,test,602,image_03853.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,16,purple coneflower,0
261,train,train_00261.jpg,images/train_00261.jpg,87,cyclamen,test,5195,image_00561.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,87,cyclamen,0
263,train,train_00263.jpg,images/train_00263.jpg,47,buttercup,test,2114,image_04666.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,47,buttercup,0
264,train,train_00264.jpg,images/train_00264.jpg,58,orange dahlia,test,2966,image_05061.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,58,orange dahlia,0
265,train,train_00265.jpg,images/train_00265.jpg,42,sword lily,test,1742,image_02418.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,42,sword lily,0
266,train,train_00266.jpg,images/train_00266.jpg,88,watercress,test,5266,image_00638.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,88,watercress,0
267,train,train_00267.jpg,images/train_00267.jpg,82,hibiscus,test,4840,image_01749.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,82,hibiscus,0
268,train,train_00268.jpg,images/train_00268.jpg,2,canterbury bells,test,72,image_06635.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,2,canterbury bells,0
271,train,train_00271.jpg,images/train_00271.jpg,11,colt's foot,test,2936,image_05024.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,58,orange dahlia,1
274,train,train_00274.jpg,images/train_00274.jpg,71,azalea,test,3576,image_03627.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,71,azalea,0
276,train,train_00276.jpg,images/train_00276.jpg,43,poinsettia,test,1814,image_01550.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,43,poinsettia,0
277,train,train_00277.jpg,images/train_00277.jpg,16,purple coneflower,test,585,image_03830.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,16,purple coneflower,0
278,train,train_00278.jpg,images/train_00278.jpg,70,gazania,test,3458,image_04484.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,70,gazania,0
279,train,train_00279.jpg,images/train_00279.jpg,53,sunflower,test,4331,image_00251.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,76,passion flower,1
281,train,train_00281.jpg,images/train_00281.jpg,54,pelargonium,train,547,image_04703.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,54,pelargonium,0
282,train,train_00282.jpg,images/train_00282.jpg,53,sunflower,test,1636,image_05710.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,41,daffodil,1
285,train,train_00285.jpg,images/train_00285.jpg,93,foxglove,test,5654,image_07387.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,93,foxglove,0
287,train,train_00287.jpg,images/train_00287.jpg,96,mallow,test,5906,image_07688.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,96,mallow,0
290,train,train_00290.jpg,images/train_00290.jpg,53,sunflower,test,2635,image_05435.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,53,sunflower,0
292,train,train_00292.jpg,images/train_00292.jpg,75,morning glory,test,4100,image_02552.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,75,morning glory,0
294,train,train_00294.jpg,images/train_00294.jpg,88,watercress,test,5270,image_00643.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,88,watercress,0
295,train,train_00295.jpg,images/train_00295.jpg,96,mallow,test,516,image_06352.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,14,yellow iris,1
296,train,train_00296.jpg,images/train_00296.jpg,82,hibiscus,test,4826,image_01733.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,82,hibiscus,0
300,train,train_00300.jpg,images/train_00300.jpg,50,petunia,test,2293,image_01426.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,0
301,train,train_00301.jpg,images/train_00301.jpg,31,garden phlox,test,1184,image_05613.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,31,garden phlox,0
304,train,train_00304.jpg,images/train_00304.jpg,70,gazania,test,3465,image_04496.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,70,gazania,0
305,train,train_00305.jpg,images/train_00305.jpg,79,anthurium,test,4487,image_01985.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,79,anthurium,0
306,train,train_00306.jpg,images/train_00306.jpg,93,foxglove,test,5619,image_07348.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,93,foxglove,0
308,train,train_00308.jpg,images/train_00308.jpg,89,canna lily,test,3187,image_06132.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,63,silverbush,1
314,train,train_00314.jpg,images/train_00314.jpg,12,king protea,test,2676,image_04728.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,54,pelargonium,1
316,train,train_00316.jpg,images/train_00316.jpg,72,water lily,test,3743,image_00423.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,72,water lily,0
317,train,train_00317.jpg,images/train_00317.jpg,30,carnation,test,2288,image_01342.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,50,petunia,1
318,train,train_00318.jpg,images/train_00318.jpg,80,frangipani,test,4588,image_00817.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,80,frangipani,0
321,train,train_00321.jpg,images/train_00321.jpg,17,peruvian lily,test,651,image_04249.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,17,peruvian lily,0
324,train,train_00324.jpg,images/train_00324.jpg,22,fritillary,test,854,image_03418.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,22,fritillary,0
325,train,train_00325.jpg,images/train_00325.jpg,93,foxglove,test,5638,image_07369.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,93,foxglove,0
326,train,train_00326.jpg,images/train_00326.jpg,80,frangipani,test,4622,image_00856.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,80,frangipani,0
327,train,train_00327.jpg,images/train_00327.jpg,61,japanese anemone,val,619,image_08173.jpg,hybrid_noise,gaussian,30.0,label_shuffle,0.2,61,japanese anemone,0
