index,split,image_filename,relative_path,label,class_name,source_split,source_index,noise_type,feature_noise_type,feature_noise_value,label_noise_type,label_noise_value,original_label,original_class_name,label_noise_applied
23,train,train_00023.png,images/train_00023.png,4,deer,test,3882,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
25,train,train_00025.png,images/train_00025.png,5,dog,train,2509,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
27,train,train_00027.png,images/train_00027.png,2,car,test,2442,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
28,train,train_00028.png,images/train_00028.png,6,horse,test,4276,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
29,train,train_00029.png,images/train_00029.png,3,cat,test,2428,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
30,train,train_00030.png,images/train_00030.png,9,truck,test,927,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
31,train,train_00031.png,images/train_00031.png,4,deer,test,1935,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
32,train,train_00032.png,images/train_00032.png,7,monkey,test,1122,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
33,train,train_00033.png,images/train_00033.png,3,cat,test,5305,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
39,train,train_00039.png,images/train_00039.png,3,cat,test,4452,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
40,train,train_00040.png,images/train_00040.png,7,monkey,test,5088,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
41,train,train_00041.png,images/train_00041.png,4,deer,train,556,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
42,train,train_00042.png,images/train_00042.png,7,monkey,train,162,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
44,train,train_00044.png,images/train_00044.png,1,bird,train,4709,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
45,train,train_00045.png,images/train_00045.png,5,dog,test,4559,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
46,train,train_00046.png,images/train_00046.png,5,dog,test,1173,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
49,train,train_00049.png,images/train_00049.png,9,truck,test,3473,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
50,train,train_00050.png,images/train_00050.png,2,car,test,1885,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,1
51,train,train_00051.png,images/train_00051.png,4,deer,test,3454,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,1
53,train,train_00053.png,images/train_00053.png,6,horse,test,769,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
55,train,train_00055.png,images/train_00055.png,1,bird,test,1383,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
56,train,train_00056.png,images/train_00056.png,4,deer,train,1757,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,1
58,train,train_00058.png,images/train_00058.png,4,deer,train,4883,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
59,train,train_00059.png,images/train_00059.png,4,deer,train,3613,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
62,train,train_00062.png,images/train_00062.png,7,monkey,test,1876,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
63,train,train_00063.png,images/train_00063.png,6,horse,train,443,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,1
65,train,train_00065.png,images/train_00065.png,5,dog,train,3245,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
67,train,train_00067.png,images/train_00067.png,6,horse,test,2462,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
70,train,train_00070.png,images/train_00070.png,9,truck,train,2464,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,1
72,train,train_00072.png,images/train_00072.png,7,monkey,test,6772,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
73,train,train_00073.png,images/train_00073.png,8,ship,train,4988,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
74,train,train_00074.png,images/train_00074.png,1,bird,train,4513,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
75,train,train_00075.png,images/train_00075.png,1,bird,train,2946,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
76,train,train_00076.png,images/train_00076.png,3,cat,test,5883,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
79,train,train_00079.png,images/train_00079.png,2,car,test,1827,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
81,train,train_00081.png,images/train_00081.png,5,dog,test,3181,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
82,train,train_00082.png,images/train_00082.png,3,cat,test,5270,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
83,train,train_00083.png,images/train_00083.png,2,car,train,4233,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
84,train,train_00084.png,images/train_00084.png,8,ship,test,3465,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
86,train,train_00086.png,images/train_00086.png,5,dog,test,2137,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
87,train,train_00087.png,images/train_00087.png,3,cat,test,2992,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
88,train,train_00088.png,images/train_00088.png,0,airplane,test,2295,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
89,train,train_00089.png,images/train_00089.png,2,car,test,975,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,1
92,train,train_00092.png,images/train_00092.png,7,monkey,test,7424,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
93,train,train_00093.png,images/train_00093.png,6,horse,test,3367,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,1
95,train,train_00095.png,images/train_00095.png,2,car,train,3358,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,1
96,train,train_00096.png,images/train_00096.png,5,dog,test,574,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
98,train,train_00098.png,images/train_00098.png,0,airplane,test,807,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
101,train,train_00101.png,images/train_00101.png,5,dog,test,3601,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
102,train,train_00102.png,images/train_00102.png,0,airplane,test,3138,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
103,train,train_00103.png,images/train_00103.png,7,monkey,train,1587,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
104,train,train_00104.png,images/train_00104.png,2,car,train,2613,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
105,train,train_00105.png,images/train_00105.png,6,horse,train,2845,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
106,train,train_00106.png,images/train_00106.png,4,deer,test,4740,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
107,train,train_00107.png,images/train_00107.png,4,deer,test,1410,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
108,train,train_00108.png,images/train_00108.png,3,cat,train,4075,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
109,train,train_00109.png,images/train_00109.png,0,airplane,test,1446,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
110,train,train_00110.png,images/train_00110.png,2,car,test,7269,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
111,train,train_00111.png,images/train_00111.png,5,dog,train,1073,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,1
112,train,train_00112.png,images/train_00112.png,5,dog,train,195,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
114,train,train_00114.png,images/train_00114.png,0,airplane,test,3970,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
115,train,train_00115.png,images/train_00115.png,7,monkey,train,101,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
116,train,train_00116.png,images/train_00116.png,6,horse,train,2563,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
117,train,train_00117.png,images/train_00117.png,9,truck,train,2605,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
118,train,train_00118.png,images/train_00118.png,5,dog,train,3349,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
119,train,train_00119.png,images/train_00119.png,4,deer,train,995,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,1
120,train,train_00120.png,images/train_00120.png,1,bird,train,2796,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,1
121,train,train_00121.png,images/train_00121.png,6,horse,test,412,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
123,train,train_00123.png,images/train_00123.png,2,car,train,1320,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
124,train,train_00124.png,images/train_00124.png,3,cat,test,6621,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
125,train,train_00125.png,images/train_00125.png,9,truck,test,4060,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
126,train,train_00126.png,images/train_00126.png,5,dog,test,4238,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,1
127,train,train_00127.png,images/train_00127.png,2,car,test,4104,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
129,train,train_00129.png,images/train_00129.png,5,dog,test,2895,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
131,train,train_00131.png,images/train_00131.png,9,truck,test,5027,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
136,train,train_00136.png,images/train_00136.png,9,truck,test,1340,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
138,train,train_00138.png,images/train_00138.png,3,cat,test,2506,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
139,train,train_00139.png,images/train_00139.png,1,bird,test,866,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
140,train,train_00140.png,images/train_00140.png,9,truck,test,6988,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
141,train,train_00141.png,images/train_00141.png,4,deer,test,5260,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
142,train,train_00142.png,images/train_00142.png,6,horse,test,580,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
143,train,train_00143.png,images/train_00143.png,3,cat,test,5426,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,1
145,train,train_00145.png,images/train_00145.png,1,bird,test,2791,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,1
146,train,train_00146.png,images/train_00146.png,1,bird,test,579,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
147,train,train_00147.png,images/train_00147.png,1,bird,test,6836,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
149,train,train_00149.png,images/train_00149.png,6,horse,test,3276,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,1
151,train,train_00151.png,images/train_00151.png,2,car,test,1789,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
152,train,train_00152.png,images/train_00152.png,4,deer,test,4021,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
153,train,train_00153.png,images/train_00153.png,9,truck,train,149,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
154,train,train_00154.png,images/train_00154.png,5,dog,test,7652,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
156,train,train_00156.png,images/train_00156.png,1,bird,train,4178,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,1
158,train,train_00158.png,images/train_00158.png,7,monkey,test,3192,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
160,train,train_00160.png,images/train_00160.png,5,dog,train,2022,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
162,train,train_00162.png,images/train_00162.png,8,ship,test,6752,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
163,train,train_00163.png,images/train_00163.png,8,ship,test,1650,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
164,train,train_00164.png,images/train_00164.png,0,airplane,train,516,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
165,train,train_00165.png,images/train_00165.png,1,bird,test,5713,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
166,train,train_00166.png,images/train_00166.png,7,monkey,test,4920,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,1
167,train,train_00167.png,images/train_00167.png,2,car,test,2459,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
168,train,train_00168.png,images/train_00168.png,5,dog,test,1971,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
170,train,train_00170.png,images/train_00170.png,2,car,test,4937,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
172,train,train_00172.png,images/train_00172.png,0,airplane,test,3285,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
173,train,train_00173.png,images/train_00173.png,7,monkey,test,2443,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
175,train,train_00175.png,images/train_00175.png,1,bird,train,2798,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
176,train,train_00176.png,images/train_00176.png,3,cat,test,6046,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
177,train,train_00177.png,images/train_00177.png,5,dog,test,5646,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
178,train,train_00178.png,images/train_00178.png,5,dog,train,4717,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
179,train,train_00179.png,images/train_00179.png,0,airplane,test,3594,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
180,train,train_00180.png,images/train_00180.png,2,car,test,7591,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
181,train,train_00181.png,images/train_00181.png,3,cat,test,6812,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
182,train,train_00182.png,images/train_00182.png,6,horse,train,1128,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
184,train,train_00184.png,images/train_00184.png,5,dog,test,428,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
185,train,train_00185.png,images/train_00185.png,4,deer,train,4557,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,1
186,train,train_00186.png,images/train_00186.png,1,bird,test,1872,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
188,train,train_00188.png,images/train_00188.png,7,monkey,test,293,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
190,train,train_00190.png,images/train_00190.png,2,car,test,376,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
194,train,train_00194.png,images/train_00194.png,6,horse,test,340,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
196,train,train_00196.png,images/train_00196.png,8,ship,test,2092,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,1
197,train,train_00197.png,images/train_00197.png,4,deer,test,3891,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
198,train,train_00198.png,images/train_00198.png,2,car,test,3959,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,1
200,train,train_00200.png,images/train_00200.png,9,truck,test,6428,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
205,train,train_00205.png,images/train_00205.png,7,monkey,train,1871,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
206,train,train_00206.png,images/train_00206.png,0,airplane,test,248,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
207,train,train_00207.png,images/train_00207.png,7,monkey,test,4081,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
209,train,train_00209.png,images/train_00209.png,7,monkey,test,4618,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,1
210,train,train_00210.png,images/train_00210.png,5,dog,train,3119,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
212,train,train_00212.png,images/train_00212.png,8,ship,test,6712,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
220,train,train_00220.png,images/train_00220.png,3,cat,test,2893,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
221,train,train_00221.png,images/train_00221.png,1,bird,train,1545,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
224,train,train_00224.png,images/train_00224.png,0,airplane,train,348,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
225,train,train_00225.png,images/train_00225.png,8,ship,test,7681,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
227,train,train_00227.png,images/train_00227.png,8,ship,test,7734,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
228,train,train_00228.png,images/train_00228.png,6,horse,test,4716,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
231,train,train_00231.png,images/train_00231.png,5,dog,test,7196,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
233,train,train_00233.png,images/train_00233.png,7,monkey,test,6663,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
235,train,train_00235.png,images/train_00235.png,6,horse,train,678,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
237,train,train_00237.png,images/train_00237.png,9,truck,test,3939,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
238,train,train_00238.png,images/train_00238.png,2,car,test,5805,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
239,train,train_00239.png,images/train_00239.png,9,truck,test,1183,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,1
240,train,train_00240.png,images/train_00240.png,1,bird,test,2523,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
243,train,train_00243.png,images/train_00243.png,1,bird,train,3960,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
244,train,train_00244.png,images/train_00244.png,1,bird,test,5740,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,1
246,train,train_00246.png,images/train_00246.png,6,horse,test,2183,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
247,train,train_00247.png,images/train_00247.png,5,dog,train,526,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
248,train,train_00248.png,images/train_00248.png,7,monkey,test,4317,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,1
249,train,train_00249.png,images/train_00249.png,5,dog,train,2699,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
250,train,train_00250.png,images/train_00250.png,0,airplane,train,203,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
253,train,train_00253.png,images/train_00253.png,7,monkey,train,3604,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
254,train,train_00254.png,images/train_00254.png,6,horse,train,2371,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
255,train,train_00255.png,images/train_00255.png,8,ship,test,4699,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,0
256,train,train_00256.png,images/train_00256.png,6,horse,train,2409,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
257,train,train_00257.png,images/train_00257.png,4,deer,train,4635,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
259,train,train_00259.png,images/train_00259.png,3,cat,test,3838,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
260,train,train_00260.png,images/train_00260.png,7,monkey,train,3658,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
262,train,train_00262.png,images/train_00262.png,6,horse,test,4416,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
263,train,train_00263.png,images/train_00263.png,5,dog,test,2483,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
264,train,train_00264.png,images/train_00264.png,3,cat,train,1955,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
265,train,train_00265.png,images/train_00265.png,7,monkey,train,4213,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
267,train,train_00267.png,images/train_00267.png,9,truck,test,3321,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
268,train,train_00268.png,images/train_00268.png,9,truck,train,3788,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
269,train,train_00269.png,images/train_00269.png,1,bird,test,1523,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
270,train,train_00270.png,images/train_00270.png,2,car,test,3856,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
272,train,train_00272.png,images/train_00272.png,9,truck,train,3741,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
273,train,train_00273.png,images/train_00273.png,5,dog,test,5148,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
275,train,train_00275.png,images/train_00275.png,0,airplane,test,1123,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
276,train,train_00276.png,images/train_00276.png,6,horse,train,3612,hybrid_noise,blur,3.0,label_shuffle,0.2,8,ship,1
277,train,train_00277.png,images/train_00277.png,7,monkey,train,1813,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
278,train,train_00278.png,images/train_00278.png,0,airplane,test,6609,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
279,train,train_00279.png,images/train_00279.png,1,bird,test,2726,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,1
281,train,train_00281.png,images/train_00281.png,2,car,test,4220,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
283,train,train_00283.png,images/train_00283.png,7,monkey,test,1114,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
284,train,train_00284.png,images/train_00284.png,1,bird,train,3333,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
286,train,train_00286.png,images/train_00286.png,9,truck,train,4301,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
288,train,train_00288.png,images/train_00288.png,1,bird,train,3594,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
290,train,train_00290.png,images/train_00290.png,7,monkey,test,7060,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
291,train,train_00291.png,images/train_00291.png,3,cat,train,4344,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
293,train,train_00293.png,images/train_00293.png,5,dog,test,1565,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
295,train,train_00295.png,images/train_00295.png,8,ship,test,7084,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,1
296,train,train_00296.png,images/train_00296.png,6,horse,test,3811,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
297,train,train_00297.png,images/train_00297.png,2,car,test,5318,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
298,train,train_00298.png,images/train_00298.png,5,dog,test,5536,hybrid_noise,blur,3.0,label_shuffle,0.2,5,dog,0
299,train,train_00299.png,images/train_00299.png,3,cat,train,2644,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
303,train,train_00303.png,images/train_00303.png,6,horse,train,1402,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
306,train,train_00306.png,images/train_00306.png,0,airplane,train,698,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,1
307,train,train_00307.png,images/train_00307.png,7,monkey,test,2063,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
308,train,train_00308.png,images/train_00308.png,9,truck,train,3384,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
309,train,train_00309.png,images/train_00309.png,1,bird,train,962,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
310,train,train_00310.png,images/train_00310.png,6,horse,train,4816,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
311,train,train_00311.png,images/train_00311.png,6,horse,train,3072,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
312,train,train_00312.png,images/train_00312.png,3,cat,test,5872,hybrid_noise,blur,3.0,label_shuffle,0.2,3,cat,0
314,train,train_00314.png,images/train_00314.png,0,airplane,test,3751,hybrid_noise,blur,3.0,label_shuffle,0.2,0,airplane,0
315,train,train_00315.png,images/train_00315.png,1,bird,test,1645,hybrid_noise,blur,3.0,label_shuffle,0.2,1,bird,0
316,train,train_00316.png,images/train_00316.png,5,dog,test,6451,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,1
318,train,train_00318.png,images/train_00318.png,4,deer,test,6533,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
319,train,train_00319.png,images/train_00319.png,2,car,train,2232,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
320,train,train_00320.png,images/train_00320.png,5,dog,test,714,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,1
322,train,train_00322.png,images/train_00322.png,6,horse,test,513,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
323,train,train_00323.png,images/train_00323.png,6,horse,test,545,hybrid_noise,blur,3.0,label_shuffle,0.2,6,horse,0
324,train,train_00324.png,images/train_00324.png,7,monkey,test,2106,hybrid_noise,blur,3.0,label_shuffle,0.2,7,monkey,0
328,train,train_00328.png,images/train_00328.png,5,dog,test,7539,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,1
329,train,train_00329.png,images/train_00329.png,4,deer,test,6629,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
330,train,train_00330.png,images/train_00330.png,9,truck,test,210,hybrid_noise,blur,3.0,label_shuffle,0.2,9,truck,0
331,train,train_00331.png,images/train_00331.png,4,deer,test,4732,hybrid_noise,blur,3.0,label_shuffle,0.2,4,deer,0
334,train,train_00334.png,images/train_00334.png,2,car,test,1344,hybrid_noise,blur,3.0,label_shuffle,0.2,2,car,0
